Format Version,1.22,Take Name,River Flow Quickly,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 11.04.30.442 AM,Total Frames in Take,6515,Total Exported Frames,6515,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-0.691113,0.027331,0.722199,-0.006633,-3.985564,0.907461,-2.378948,0.000000,-4.210890,0.916898,-2.376396,0.749055,-3.931307,0.904114,-2.489289,0.863355,-3.929730,0.904285,-2.272015,0.787935,-3.870329,0.904544,-2.378093,0.856908,-4.210890,0.916898,-2.376396,-3.931307,0.904114,-2.489289,-3.929730,0.904285,-2.272015,-3.870329,0.904544,-2.378093,0.239705,0.036749,-14.733400,0.430868,-0.012653,-14.591356,0.265941,0.030548,-14.783816,0.392149,0.020475,-14.794727,0.442699,0.036776,-14.751143,,,,,,,,,
7,0.019444,-0.690941,0.027526,0.722351,-0.007272,-3.985479,0.907597,-2.378957,0.000000,-4.210810,0.916893,-2.376305,0.749055,-3.931274,0.904158,-2.489321,0.863355,-3.929590,0.904582,-2.272048,0.787935,-3.870241,0.904756,-2.378155,0.856908,-4.210810,0.916893,-2.376305,-3.931274,0.904158,-2.489321,-3.929590,0.904582,-2.272048,-3.870241,0.904756,-2.378155,0.240403,0.042087,-14.730789,0.430806,-0.012619,-14.591362,0.265824,0.030449,-14.783813,,,,0.441585,0.033756,-14.752051,,,,,,,,,
8,0.022222,-0.690933,0.027949,0.722347,-0.006725,-3.985556,0.907516,-2.378902,0.000000,-4.210875,0.917122,-2.376255,0.749055,-3.931353,0.904018,-2.489264,0.863355,-3.929675,0.904408,-2.271991,0.787935,-3.870323,0.904516,-2.378096,0.856908,-4.210875,0.917122,-2.376255,-3.931353,0.904018,-2.489264,-3.929675,0.904408,-2.271991,-3.870323,0.904516,-2.378096,0.240361,0.041837,-14.730890,0.430789,-0.012474,-14.591193,0.265885,0.030475,-14.783847,,,,0.441904,0.037310,-14.750262,,,,,,,,,
9,0.025000,-0.690710,0.028523,0.722532,-0.007358,-3.985424,0.907503,-2.378849,0.000000,-4.210741,0.917089,-2.376082,0.749055,-3.931287,0.903824,-2.489238,0.863355,-3.929478,0.904582,-2.271967,0.787935,-3.870189,0.904516,-2.378108,0.856908,-4.210741,0.917089,-2.376082,-3.931287,0.903824,-2.489238,-3.929478,0.904582,-2.271967,-3.870189,0.904516,-2.378108,0.239643,0.036639,-14.733423,0.430753,-0.012526,-14.591281,0.265795,0.030298,-14.783903,0.392140,0.020640,-14.794769,,,,,,,,,,,,
10,0.027778,-0.690719,0.027922,0.722556,-0.006401,-3.985499,0.907439,-2.378899,0.000000,-4.210812,0.917143,-2.376117,0.749055,-3.931361,0.903972,-2.489294,0.863355,-3.929558,0.904253,-2.272022,0.787935,-3.870267,0.904387,-2.378162,0.856908,-4.210812,0.917143,-2.376117,-3.931361,0.903972,-2.489294,-3.929558,0.904253,-2.272022,-3.870267,0.904387,-2.378162,0.239650,0.036660,-14.733390,0.430721,-0.012452,-14.591253,0.265742,0.030275,-14.783866,0.391738,0.021588,-14.793859,0.442589,0.036755,-14.751131,,,,,,,,,
11,0.030556,-0.690843,0.027906,0.722430,-0.007248,-3.985451,0.907547,-2.378905,0.000000,-4.210776,0.916973,-2.376203,0.749055,-3.931275,0.904021,-2.489280,0.863355,-3.929538,0.904555,-2.272008,0.787935,-3.870215,0.904641,-2.378129,0.856908,-4.210776,0.916973,-2.376203,-3.931275,0.904021,-2.489280,-3.929538,0.904555,-2.272008,-3.870215,0.904641,-2.378129,0.239621,0.036705,-14.733418,0.430658,-0.012446,-14.591169,0.265768,0.030473,-14.783850,0.392136,0.020534,-14.794748,,,,,,,,,,,,
12,0.033333,-0.690856,0.027627,0.722429,-0.007092,-3.985531,0.907659,-2.378908,0.000000,-4.210857,0.917046,-2.376205,0.749055,-3.931351,0.904209,-2.489284,0.863355,-3.929620,0.904609,-2.272011,0.787935,-3.870294,0.904770,-2.378131,0.856908,-4.210857,0.917046,-2.376205,-3.931351,0.904209,-2.489284,-3.929620,0.904609,-2.272011,-3.870294,0.904770,-2.378131,0.240324,0.042098,-14.730835,0.430744,-0.012389,-14.591212,0.265727,0.030290,-14.783848,,,,0.441916,0.033780,-14.752306,,,,,,,,,
13,0.036111,-0.690892,0.028186,0.722378,-0.006668,-3.985551,0.907437,-2.378927,0.000000,-4.210865,0.917137,-2.376261,0.749055,-3.931359,0.903888,-2.489294,0.863355,-3.929661,0.904335,-2.272021,0.787935,-3.870319,0.904390,-2.378132,0.856908,-4.210865,0.917137,-2.376261,-3.931359,0.903888,-2.489294,-3.929661,0.904335,-2.272021,-3.870319,0.904390,-2.378132,0.240297,0.042051,-14.730844,0.430568,-0.021222,-14.594701,0.265746,0.030412,-14.783796,0.392116,0.020521,-14.794775,,,,,,,,,,,,
14,0.038889,-0.690751,0.027404,0.722540,-0.006943,-3.985473,0.907603,-2.378895,0.000000,-4.210799,0.916970,-2.376120,0.749055,-3.931326,0.904217,-2.489289,0.863355,-3.929530,0.904502,-2.272017,0.787935,-3.870236,0.904725,-2.378154,0.856908,-4.210799,0.916970,-2.376120,-3.931326,0.904217,-2.489289,-3.929530,0.904502,-2.272017,-3.870236,0.904725,-2.378154,0.240336,0.041944,-14.730878,0.430555,-0.013899,-14.591531,0.265827,0.030412,-14.783817,,,,0.441445,0.033701,-14.752110,,,,,,,,,
15,0.041667,-0.690766,0.028050,0.722507,-0.006355,-3.985507,0.907475,-2.378901,0.000000,-4.210817,0.917234,-2.376152,0.749055,-3.931355,0.903981,-2.489289,0.863355,-3.929581,0.904289,-2.272017,0.787935,-3.870275,0.904396,-2.378148,0.856908,-4.210817,0.917234,-2.376152,-3.931355,0.903981,-2.489289,-3.929581,0.904289,-2.272017,-3.870275,0.904396,-2.378148,0.240288,0.042038,-14.730834,0.430566,-0.014005,-14.591543,0.265826,0.030420,-14.783845,0.392130,0.020495,-14.794772,0.443164,0.036582,-14.751389,,,,,,,,,
